adult/id,adult_ticket_order_number,type_of_ticket,amount,attended,isOwner,adult/children_no,adult/createdAt,adult/updatedAt
7a8f7b7f-f555-4e62-a813-7693d517b0ae,SFF/ORNo/00039,group,2500,FALSE,TRUE,5,2023-07-14T12:20:42.000Z,2023-07-20T20:43:48.000Z
7a2aa435-3892-435d-af83-9f8879eb3f8c,SFF/ORNo/00030,group,2500,FALSE,TRUE,3,2023-07-14T12:20:40.000Z,2023-07-20T20:43:42.000Z
b59f1459-06ff-4ef7-8ae3-f492afc18667,SFF/ORNo/00564,group,2000,TRUE,FALSE,4,2023-07-21T15:42:22.000Z,2023-07-21T16:12:20.000Z
64975616-3092-4c9f-b8a3-6a27599856cf,SFF/ORNo/00624,group,2000,FALSE,FALSE,2,2023-07-21T18:30:28.000Z,2023-07-21T18:53:11.000Z
ff5c9cc2-72b4-459e-b713-822dd356e06d,SFF/ORNo/00180,group,2500,TRUE,TRUE,3,2023-07-15T17:26:58.000Z,2023-07-20T20:45:28.000Z
4ec92791-4777-44da-8be3-77dc96e741a6,SFF/ORNo/00125,group,2500,TRUE,TRUE,4,2023-07-15T17:26:46.000Z,2023-07-20T20:44:52.000Z
bde1a9e9-3f1f-4a06-9491-23d4e789d91f,SF/ORNo/U6N6M,group,2500,FALSE,FALSE,,2023-07-20T12:49:45.000Z,2023-07-20T12:51:25.000Z
44228103-3850-4791-88bb-ee87962cb6a0,SF/ORNo/EPHPI,group,2500,TRUE,FALSE,,2023-07-20T13:29:40.000Z,2023-07-20T13:31:30.000Z
8097d265-34f3-4050-98cd-d612b903e5d5,SF/ORNo/AAUUB,individual,3000,FALSE,FALSE,,2023-07-20T14:06:00.000Z,2023-07-20T14:06:00.000Z
7397c6d5-a0a0-4f9a-a426-4bce05e23b4c,SFF/ORNo/00552,group,2000,FALSE,FALSE,5,2023-07-21T15:42:20.000Z,2023-07-21T16:12:08.000Z
e04d0153-4667-456e-b0fc-6888280af6cb,SFF/ORNo/00016,individual,3000,FALSE,TRUE,0,2023-07-14T12:20:38.000Z,2023-07-20T20:43:33.000Z
fd7b5a7f-f1b5-4ffc-9a84-a196adce4df0,SF/ORNo/ALNSV,group,2500,FALSE,FALSE,,2023-07-15T19:23:01.000Z,2023-07-15T19:28:11.000Z
49573f46-ecf4-4d89-989c-11e247bb7dd7,SFF/ORNo/00166,group,2000,TRUE,TRUE,9,2023-07-15T17:26:54.000Z,2023-07-22T08:25:56.000Z
1befcad1-fbcf-4feb-aab2-c1f502cc7d5d,SFF/ORNo/00628,group,2000,FALSE,FALSE,0,2023-07-21T18:30:28.000Z,2023-07-21T18:53:12.000Z
ccd77c8e-a5bf-4f02-bd57-0d0140e3e1d4,SF/ORNo/RJLEH,individual,3000,TRUE,FALSE,,2023-07-20T15:14:37.000Z,2023-07-20T15:20:28.000Z
8cc008dd-3c7b-47c2-97b7-9bac1e1a27ac,SF/ORNo/DP42V,group,2500,FALSE,FALSE,,2023-07-21T22:57:00.000Z,2023-07-21T23:02:05.000Z
a3fec3fc-6f7c-471b-a23d-ac0f7500585a,SF/ORNo/MKSPU,group,2500,FALSE,FALSE,,2023-07-19T09:44:41.000Z,2023-07-19T09:59:42.000Z
d358d03b-ba56-4c18-bf4a-d51d59b5e44f,SFF/ORNo/00593,group,2000,FALSE,FALSE,3,2023-07-21T15:42:25.000Z,2023-07-21T16:12:53.000Z
c2ac50e5-2223-406e-8145-d1f56b38dbac,SFF/ORNo/00149,group,2000,FALSE,TRUE,0,2023-07-15T17:26:50.000Z,2023-07-20T20:45:03.000Z
fd05f894-e313-4a16-b382-c42b83644641,SFF/ORNo/00204,group,2500,TRUE,TRUE,3,2023-07-18T12:11:53.000Z,2023-07-20T20:45:46.000Z
5a202483-a954-4f85-850a-ae7e24ddd9e7,SFF/ORNo/00113,group,2500,FALSE,TRUE,7,2023-07-14T12:34:49.000Z,2023-07-20T20:44:31.000Z
c970e2f2-3fa5-4467-a94a-5adb195349e7,SFF/ORNo/00150,group,2000,FALSE,TRUE,0,2023-07-15T17:26:50.000Z,2023-07-20T20:45:03.000Z
bb7035db-82e5-4f45-b5f2-a395aa60c385,SFF/ORNo/00085,group,2500,FALSE,FALSE,0,2023-07-14T12:20:51.000Z,2023-07-14T12:20:51.000Z
16f93870-8ee6-4f6a-8ab9-9115781418da,SFF/ORNo/00238,individual,3000,FALSE,TRUE,0,2023-07-18T20:03:39.000Z,2023-07-20T20:46:00.000Z
4260ac73-b5ad-44e4-a697-3c1c50add20b,SFF/ORNo/00118,group,2500,FALSE,TRUE,0,2023-07-14T12:34:50.000Z,2023-07-20T20:44:34.000Z
45b33362-93b9-4f09-a86c-36b937f85d0e,SFF/ORNo/00156,group,2000,FALSE,TRUE,0,2023-07-15T17:26:52.000Z,2023-07-20T20:45:04.000Z
b78fec7f-a6d5-437e-af54-2afe84b25d99,SF/ORNo/DXZX3,group,2000,FALSE,TRUE,,2023-07-17T11:05:32.000Z,2023-07-20T20:45:43.000Z
bf7a9a92-4d27-42b3-8028-a8c545c7b84f,SFF/ORNo/00163,group,2500,FALSE,TRUE,4,2023-07-15T17:26:53.000Z,2023-07-20T20:45:13.000Z
2e231703-16d8-4f02-ac61-2c6912c9d9b6,SFF/ORNo/00555,group,2000,FALSE,FALSE,1,2023-07-21T15:42:20.000Z,2023-07-21T16:25:26.000Z
f57ce0fc-bd18-429c-8714-6ff146bd79f7,SFF/ORNo/00074,individual,3000,FALSE,TRUE,0,2023-07-14T12:20:49.000Z,2023-07-21T04:02:49.000Z
b39c41b4-d06d-45a2-8c54-3c5855c9030f,SF/ORNo/EQNWL,individual,3000,FALSE,FALSE,,2023-07-21T14:21:43.000Z,2023-07-21T14:29:11.000Z
5a202483-a954-4f85-850a-ae7e24ddd9e7,SFF/ORNo/00219,group,2500,FALSE,TRUE,7,2023-07-14T12:34:49.000Z,2023-07-20T20:44:31.000Z
a1ef90d4-eee8-445a-91bc-356178e76aea,SF/ORNo/EMFYU,group,2500,FALSE,FALSE,,2023-07-19T19:09:41.000Z,2023-07-19T19:11:49.000Z
b78fec7f-a6d5-437e-af54-2afe84b25d99,SF/ORNo/61A6O,group,2000,FALSE,TRUE,,2023-07-17T11:05:32.000Z,2023-07-20T20:45:43.000Z
d9cb57a0-ab03-4406-87e5-4f3725562130,SFF/ORNo/00587,group,2000,FALSE,FALSE,6,2023-07-21T15:42:24.000Z,2023-07-21T16:12:48.000Z
e336be39-e02f-45e7-b6f3-e9ae74dcfaba,SFF/ORNo/00037,group,2500,FALSE,TRUE,3,2023-07-14T12:20:42.000Z,2023-07-20T20:43:47.000Z
a7b505b3-ad14-49e9-b0ae-7bd2cc98b8eb,SF/ORNo/TTDSF,individual,3000,FALSE,FALSE,,2023-07-21T18:06:07.000Z,2023-07-21T18:09:32.000Z
afe8e818-d689-45cf-b4d8-ebf72cd86860,SF/ORNo/RZU38,individual,3000,FALSE,FALSE,,2023-07-15T18:02:16.000Z,2023-07-15T18:02:16.000Z
c6590054-b487-4452-b12a-f32526668c9d,SF/ORNo/ZLJAC,group,2500,FALSE,FALSE,,2023-07-21T13:37:55.000Z,2023-07-21T13:41:37.000Z
9bb0745d-0000-4776-8fa0-bd16c2c711e9,SFF/ORNo/00276,group,2000,FALSE,TRUE,3,2023-07-20T19:00:06.000Z,2023-07-20T19:00:06.000Z
a86723bd-a704-4c56-bdfb-cba7150a57b7,SFF/ORNo/00076,individual,3000,FALSE,TRUE,0,2023-07-14T12:20:49.000Z,2023-07-20T20:44:03.000Z
